query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
absence of infection sterile,C0393591,Aicardi-Goutieres syndrome,1,,50,9.5008,,and_definitions;phrase_definitions,,"Aicardi-Goutières syndrome is a disorder with variable signs and symptoms, but it primarily affects the brain, the immune system, and the skin.~Aicardi-Goutières syndrome is often divided into two types, which are distinguished by the severity of features and the age at which they begin: the early-onset form (sometimes called the classic form) and the later-onset form.~Individuals with the early-onset form of Aicardi-Goutières syndrome can experience severe brain dysfunction (encephalopathy) within the first months of life. This encephalopathic phase of the disorder can last for weeks or months. Affected infants stop developing new skills and begin losing skills they had already acquired (developmental regression). Infants with this form can have seizures. Medical imaging reveals loss of white matter in the brain (leukodystrophy). White matter consists of nerve cells covered by myelin, which is a substance that protects nerves and allows them to rapidly transmit nerve impulses. Growth of the brain and skull slows down, resulting in an abnormally small head size (microcephaly). Affected individuals may have abnormal deposits of calcium (calcification) in the brain. As a result of this neurological damage, most people with Aicardi-Goutières syndrome have profound intellectual disabilities.~Affected babies are usually extremely irritable and do not feed well. They also have muscle stiffness (spasticity), involuntary tensing of various muscles (dystonia), and weak muscle tone (hypotonia). They can have vision problems including vision loss and increased pressure in the eye (glaucoma).~Some newborns have a combination of features that include an enlarged liver and spleen (hepatosplenomegaly), elevated blood levels of liver enzymes, and a shortage of blood cells called platelets that are needed for normal blood clotting (thrombocytopenia). They may develop intermittent fevers in the absence of infection (sterile pyrexias). While this combination of signs and symptoms is typically associated with the immune system's response to a viral infection that is present at birth (congenital), no actual infection is found in these infants. For this reason, Aicardi-Goutières syndrome is sometimes referred to as a ""mimic of congenital infection.""~In some affected newborns, white blood cells, interferon proteins, and other immune system molecules can be detected in the cerebrospinal fluid, which is the fluid that surrounds the brain and spinal cord (central nervous system). These findings are consistent with inflammation and tissue damage in the central nervous system.~About 40 percent of people with the early-onset form of Aicardi-Goutières syndrome develop a skin problem called chilblains. Chilblains are painful, itchy skin lesions that are puffy and red, and they usually appear on the fingers, toes, nose, and ears. They are caused by inflammation of small blood vessels and may be brought on or made worse by exposure to cold temperatures.~In about 20 percent of cases, the early-onset form of Aicardi-Goutières syndrome begins prenatally. Slow growth (intrauterine growth retardation) and brain abnormalities, especially brain calcification, may be seen on ultrasound imaging. These individuals have the most severe neurological problems and the highest risk for early death.~People with the later-onset form of Aicardi-Goutières syndrome typically have normal development in infancy. In these individuals, encephalopathy typically occurs after 1 year of age. Similar to those with the early-onset form, babies with the later-onset form experience irritability, poor feeding, and sterile pyrexias. Over time, affected individuals show developmental delays and regression. They may also have spasticity and hypotonia, and the growth of the brain and head may slow leading to microcephaly. The health and developmental problems in people with the later-onset form are typically not as severe as those in individuals with the early-onset form, though the severity can vary among affected individuals.~As a result of the severe neurological problems that are usually associated with Aicardi-Goutières syndrome, most people with this disorder do not survive past childhood. However, some affected individuals with the later-onset form of the condition and milder neurological problems can live into adolescence or adulthood."
absence of ocular abnormalities,C1861481,"Stickler syndrome, type 3",1,,50,28.1455,,and_definitions;phrase_definitions,,"A rare genetic multiple congenital anomalies/dysmorphic syndrome with characteristics of craniofacial dysmorphism (midface hypoplasia, depressed nasal bridge, small nose with upturned tip, cleft palate, Pierre Robin sequence), bilateral, pronounced sensorineural hearing loss and skeletal/joint anomalies (including spondyloepiphyseal dysplasia, arthralgia/arthropathy), in the absence of ocular abnormalities. There is evidence the disease is caused by heterozygous mutation in the COL11A2 gene on chromosome 6p21."
blood absence of bone,C2826323,Refractory Cytopenia of Childhood,1,,50,28.4488,,and_definitions;phrase_definitions,,"A myeloid disorder that occurs in childhood and is characterized by persistent cytopenia, dysplastic changes in at least two hematopoietic lineages or in 10% or more of cells in one hematopoietic lineage, less than 5% blasts in bone marrow, and less than 2% blasts in peripheral blood, absence of bone marrow fibrosis, and absence of history of prior cytotoxic chemotherapy or radiation therapy. In a subset of cases, somatic mutations or cytogenetic abnormalities can be identified. Other cases are the result of pre-existing disorders with germline mutations, including Fanconi anemia, Shwachman-Diamond syndrome, and dyskeratosis congenita."
blood combined with reduced,C0752308,"Hypoxia-Ischemia, Brain",1,,50,13.4650,,and_definitions;phrase_definitions,,"A disorder characterized by a reduction of oxygen in the blood combined with reduced blood flow (ISCHEMIA) to the brain from a localized obstruction of a cerebral artery or from systemic hypoperfusion. Prolonged hypoxia-ischemia is associated with ISCHEMIC ATTACK, TRANSIENT; BRAIN INFARCTION; BRAIN EDEMA; COMA; and other conditions."
blood from the caudal,C4023237,Interrupted inferior vena cava with azygous continuation,1,,50,31.5595,,and_definitions;phrase_definitions,,"Interrupted inferior vena cava with azygous continuation is the result of connection failure between the right subcardinal vein and the right vitelline vein. Consequently, venous blood from the caudal part of the body reaches the heart via the azygous vein and superior vena cava. [HPO_CONTRIBUTOR:DDD_dbrown, PMID:10550884]"
blood from the chest,C0490654,"SUCKER, CARDIOTOMY RETURN, CARDIOPULMONARY BYPASS",1,,50,34.1336,,and_definitions;phrase_definitions,,"A cardiopulmonary bypass cardiotomy return sucker is a device that consists of tubing, a connector, and a probe or tip that is used to remove blood from the chest or heart during cardiopulmonary bypass surgery."
blood of breast cancer,C5446931,Droplet-BC Test,1,,50,39.6440,,and_definitions;phrase_definitions,,A screening test designed to detect circulating RNA in the blood of breast cancer patients.
blood vessels from one,C0493897,"DEVICE, PERCUTANEOUS RETRIEVAL",1,,50,41.2767,,and_definitions;phrase_definitions,,"An embolectomy catheter is a balloon-tipped catheter that is used to remove thromboemboli, i.e., blood clots which have migrated in blood vessels from one site in the vascular tree to another."
chronic destructive infection,C0034188,"Pyelonephritis, Xanthogranulomatous",1,,50,25.8182,,and_definitions;phrase_definitions,,"Chronic, destructive infection of the kidney characterized by lipid-laden macrophages in the setting of obstruction secondary to infected renal stones, most commonly caused by Proteus or Escherichia coli."
congenital no actual infection,C0393591,Aicardi-Goutieres syndrome,1,,50,9.3012,,and_definitions;phrase_definitions,,"Aicardi-Goutières syndrome is a disorder with variable signs and symptoms, but it primarily affects the brain, the immune system, and the skin.~Aicardi-Goutières syndrome is often divided into two types, which are distinguished by the severity of features and the age at which they begin: the early-onset form (sometimes called the classic form) and the later-onset form.~Individuals with the early-onset form of Aicardi-Goutières syndrome can experience severe brain dysfunction (encephalopathy) within the first months of life. This encephalopathic phase of the disorder can last for weeks or months. Affected infants stop developing new skills and begin losing skills they had already acquired (developmental regression). Infants with this form can have seizures. Medical imaging reveals loss of white matter in the brain (leukodystrophy). White matter consists of nerve cells covered by myelin, which is a substance that protects nerves and allows them to rapidly transmit nerve impulses. Growth of the brain and skull slows down, resulting in an abnormally small head size (microcephaly). Affected individuals may have abnormal deposits of calcium (calcification) in the brain. As a result of this neurological damage, most people with Aicardi-Goutières syndrome have profound intellectual disabilities.~Affected babies are usually extremely irritable and do not feed well. They also have muscle stiffness (spasticity), involuntary tensing of various muscles (dystonia), and weak muscle tone (hypotonia). They can have vision problems including vision loss and increased pressure in the eye (glaucoma).~Some newborns have a combination of features that include an enlarged liver and spleen (hepatosplenomegaly), elevated blood levels of liver enzymes, and a shortage of blood cells called platelets that are needed for normal blood clotting (thrombocytopenia). They may develop intermittent fevers in the absence of infection (sterile pyrexias). While this combination of signs and symptoms is typically associated with the immune system's response to a viral infection that is present at birth (congenital), no actual infection is found in these infants. For this reason, Aicardi-Goutières syndrome is sometimes referred to as a ""mimic of congenital infection.""~In some affected newborns, white blood cells, interferon proteins, and other immune system molecules can be detected in the cerebrospinal fluid, which is the fluid that surrounds the brain and spinal cord (central nervous system). These findings are consistent with inflammation and tissue damage in the central nervous system.~About 40 percent of people with the early-onset form of Aicardi-Goutières syndrome develop a skin problem called chilblains. Chilblains are painful, itchy skin lesions that are puffy and red, and they usually appear on the fingers, toes, nose, and ears. They are caused by inflammation of small blood vessels and may be brought on or made worse by exposure to cold temperatures.~In about 20 percent of cases, the early-onset form of Aicardi-Goutières syndrome begins prenatally. Slow growth (intrauterine growth retardation) and brain abnormalities, especially brain calcification, may be seen on ultrasound imaging. These individuals have the most severe neurological problems and the highest risk for early death.~People with the later-onset form of Aicardi-Goutières syndrome typically have normal development in infancy. In these individuals, encephalopathy typically occurs after 1 year of age. Similar to those with the early-onset form, babies with the later-onset form experience irritability, poor feeding, and sterile pyrexias. Over time, affected individuals show developmental delays and regression. They may also have spasticity and hypotonia, and the growth of the brain and head may slow leading to microcephaly. The health and developmental problems in people with the later-onset form are typically not as severe as those in individuals with the early-onset form, though the severity can vary among affected individuals.~As a result of the severe neurological problems that are usually associated with Aicardi-Goutières syndrome, most people with this disorder do not survive past childhood. However, some affected individuals with the later-onset form of the condition and milder neurological problems can live into adolescence or adulthood."
