query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
disorder involving abnormal inflammation,C4014722,"STING-ASSOCIATED VASCULOPATHY, INFANTILE-ONSET",1,,50,18.2144,,and_definitions;phrase_definitions,,"STING-associated vasculopathy with onset in infancy (SAVI) is a disorder involving abnormal inflammation throughout the body, especially in the skin, blood vessels, and lungs. Inflammation normally occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and help with tissue repair. Excessive inflammation damages the body's own cells and tissues. Disorders such as SAVI that result from abnormally increased inflammation are known as autoinflammatory diseases.~The signs and symptoms of SAVI begin in the first few months of life, and most are related to problems with blood vessels (vasculopathy) and damage to the tissues that rely on these vessels for their blood supply. Affected infants develop areas of severely damaged skin (lesions), particularly on the face, ears, nose, fingers, and toes. These lesions begin as rashes and can progress to become wounds (ulcers) and dead tissue (necrosis). The skin problems, which worsen in cold weather, can lead to complications such as scarred ears, a hole in the tissue that separates the two nostrils (nasal septum perforation), or fingers or toes that require amputation. Individuals with SAVI also have a purplish skin discoloration (livedo reticularis) caused by abnormalities in the tiny blood vessels of the skin. Affected individuals may also experience episodes of Raynaud phenomenon, in which the fingers and toes turn white or blue in response to cold temperature or other stresses. This effect occurs because of problems with the small vessels that carry blood to the extremities.~In addition to problems affecting the skin, people with SAVI have recurrent low-grade fevers and swollen lymph nodes. They may also develop widespread lung damage (interstitial lung disease) that can lead to the formation of scar tissue in the lungs (pulmonary fibrosis) and difficulty breathing; these respiratory complications can become life-threatening. Rarely, muscle inflammation (myositis) and joint stiffness also occur."
infection in childhood characterized,C0238099,Rubella encephalitis,1,,50,32.2675,,and_definitions;phrase_definitions,,"A rare chronic encephalitis developing up to several years after congenital rubella virus infection or rubella infection in childhood, characterized by slowly progressive, wide-spread neurological symptoms, like cognitive decline, cerebellar ataxia, spasticity, and seizures, amongst others. Progredient deterioration of the neurological disease eventually leads to the death of the patient."
secretion from the adrenal,C0070426,perindoprilat,1,,50,33.0099,,and_definitions;phrase_definitions,,"A non-sulfhydryl angiotensin-converting enzyme (ACE) inhibitor with antihypertensive activity. Perindoprilat inhibits ACE and, thus, the conversion of angiotensin I to angiotensin II; consequently, angiotensin II-mediated vasoconstriction and angiotensin II-stimulated aldosterone secretion from the adrenal cortex are inhibited and diuresis and natriuresis ensue."
skin because of deposits,C0016689,Freckles,1,,50,51.2861,,and_definitions;phrase_definitions,,"The presence of an increased number of freckles, small circular spots on the skin that are darker than the surrounding skin because of deposits of melanin. []"
skin from another,C5437127,Metastatic squamous cell carcinoma to skin,1,,50,37.3708,,and_definitions;phrase_definitions,,A squamous cell carcinoma that has spread to the skin from another anatomic site.
skin from another anatomic,C5437127,Metastatic squamous cell carcinoma to skin,1,,50,53.9863,,and_definitions;phrase_definitions,,A squamous cell carcinoma that has spread to the skin from another anatomic site.
tumor induced osteolytic disease,C2703201,BHQ880,1,,50,47.6724,,and_definitions;phrase_definitions,,"A humanized monoclonal antibody directed against Wnt antagonist Dickkopf-1 (DKK1) with potential anti-osteolytic activity. Anti-DKK1 monoclonal antibody BHQ880 binds to and inhibits DKK1, enhancing signaling through the Wnt pathway, which may result in osteoblast differentiation and activation within the bone matrix and the reversal of tumor-induced osteolytic disease. DKK1 is a potent Wnt signaling pathway antagonist."
tumor intraocular inflammation,C4755300,Idiopathic uveal effusion syndrome,1,,50,30.3879,,and_definitions;phrase_definitions,,"A rare panuveitis characterized by uni- or bilateral abnormal fluid accumulation within the suprachoroidal space, resulting in internal choroidal elevation, in the absence of any known cause, such as decreased intraocular tension, intraocular tumor, intraocular inflammation or nanophthalmos. Patients typically present a protracted, relapsing-remitting course of visual acuity loss and fundus examination shows annular celio-choroidal detachment and shifting, serous retinal detachment."
abnormally increased inflammation,C4014722,"STING-ASSOCIATED VASCULOPATHY, INFANTILE-ONSET",2,,49,14.4324,,and_definitions;phrase_definitions,,"STING-associated vasculopathy with onset in infancy (SAVI) is a disorder involving abnormal inflammation throughout the body, especially in the skin, blood vessels, and lungs. Inflammation normally occurs when the immune system sends signaling molecules and white blood cells to a site of injury or disease to fight microbial invaders and help with tissue repair. Excessive inflammation damages the body's own cells and tissues. Disorders such as SAVI that result from abnormally increased inflammation are known as autoinflammatory diseases.~The signs and symptoms of SAVI begin in the first few months of life, and most are related to problems with blood vessels (vasculopathy) and damage to the tissues that rely on these vessels for their blood supply. Affected infants develop areas of severely damaged skin (lesions), particularly on the face, ears, nose, fingers, and toes. These lesions begin as rashes and can progress to become wounds (ulcers) and dead tissue (necrosis). The skin problems, which worsen in cold weather, can lead to complications such as scarred ears, a hole in the tissue that separates the two nostrils (nasal septum perforation), or fingers or toes that require amputation. Individuals with SAVI also have a purplish skin discoloration (livedo reticularis) caused by abnormalities in the tiny blood vessels of the skin. Affected individuals may also experience episodes of Raynaud phenomenon, in which the fingers and toes turn white or blue in response to cold temperature or other stresses. This effect occurs because of problems with the small vessels that carry blood to the extremities.~In addition to problems affecting the skin, people with SAVI have recurrent low-grade fevers and swollen lymph nodes. They may also develop widespread lung damage (interstitial lung disease) that can lead to the formation of scar tissue in the lungs (pulmonary fibrosis) and difficulty breathing; these respiratory complications can become life-threatening. Rarely, muscle inflammation (myositis) and joint stiffness also occur."
inflammation of the fingers,C0239161,Dactylitis,2,,49,37.4715,,and_definitions;phrase_definitions,,Inflammation of the fingers or toes. This may be accompanied by pain and discoloration.
